station/location,date,daytemp,rain_in_mm,sunshine_in_minutes,airpress
LUZ,2021-01-01,1.7,0.6,0,953.9
LUZ,2021-01-02,1.5,0.0,0,955
LUZ,2021-01-03,0.5,0.0,0,956.2
LUZ,2021-01-04,0.1,0.0,0,956.3
LUZ,2021-01-05,-0.2,0.0,0,956.9
LUZ,2021-01-06,-0.3,0.6,0,959.2
LUZ,2021-01-07,0.3,0.1,284,961
LUZ,2021-01-08,-0.1,0.0,280,962.5
LUZ,2021-01-09,-2.4,0.0,214,964.5
LUZ,2021-01-10,-1.7,0.0,76,965.8
LUZ,2021-01-11,-2.7,0.0,218,967.7
LUZ,2021-01-12,-0.4,4.4,0,964.7
LUZ,2021-01-13,3.3,10.5,0,965.4
LUZ,2021-01-14,3.1,28.9,0,962.6
LUZ,2021-01-15,-1.0,8.4,0,966.4
LUZ,2021-01-16,-3.4,0.8,0,971.1
LUZ,2021-01-17,0.5,6.0,0,966.6
LUZ,2021-01-18,0.8,0.0,0,972.8
LUZ,2021-01-19,-1.4,0.0,293,966.8
LUZ,2021-01-20,-0.2,0.0,106,956.7
LUZ,2021-01-21,3.7,0.0,73,950.6
LUZ,2021-01-22,5.8,5.2,221,943.3
LUZ,2021-01-23,2.6,1.1,72,945.8
LUZ,2021-01-24,1.6,3.4,405,948.7
LUZ,2021-01-25,0.7,2.5,61,953.1
LUZ,2021-01-26,0.3,0.0,100,967.5
LUZ,2021-01-27,-0.8,18.8,0,964.3
LUZ,2021-01-28,5.8,6.9,3,957.9
LUZ,2021-01-29,8.2,8.3,116,953.4
LUZ,2021-01-30,5.3,11.0,0,948.9
LUZ,2021-01-31,5.7,1.4,17,945.9
LUZ,2021-02-01,5.8,5.0,0,945.1
LUZ,2021-02-02,6.8,1.0,0,955
LUZ,2021-02-03,8.5,15.9,7,954.9
LUZ,2021-02-04,6.1,0.0,68,961.4
LUZ,2021-02-05,6.1,0.0,288,959.2
LUZ,2021-02-06,5.1,0.0,0,951.7
LUZ,2021-02-07,4.3,5.2,0,944.9
LUZ,2021-02-08,2.9,1.3,338,943.5
LUZ,2021-02-09,0.7,2.0,0,947.5
LUZ,2021-02-10,0.3,11.6,0,950.9
LUZ,2021-02-11,-5.5,0.2,0,968.6
LUZ,2021-02-12,-6.0,0.0,0,969.9
LUZ,2021-02-13,-6.3,0.0,0,975.8
LUZ,2021-02-14,-5.6,0.0,298,980.9
LUZ,2021-02-15,-1.2,1.2,47,978
LUZ,2021-02-16,4.0,6.2,224,969.1
LUZ,2021-02-17,5.9,0.0,316,968.5
LUZ,2021-02-18,4.0,0.0,292,964.3
LUZ,2021-02-19,6.9,0.0,376,965.9
LUZ,2021-02-20,6.0,0.0,559,965.7
