station/location,date,sunshine_min,daytemp_avg
LUZ,2021-01-01,0,1.7
LUZ,2021-01-02,0,1.5
LUZ,2021-01-03,0,0.5
LUZ,2021-01-04,0,0.1
LUZ,2021-01-05,0,-0.2
LUZ,2021-01-06,0,-0.3
LUZ,2021-01-07,284,0.3
LUZ,2021-01-08,280,-0.1
LUZ,2021-01-09,214,-2.4
LUZ,2021-01-10,76,-1.7
LUZ,2021-01-11,218,-2.7
LUZ,2021-01-12,0,-0.4
LUZ,2021-01-13,0,3.3
LUZ,2021-01-14,0,3.1
LUZ,2021-01-15,0,-1.0
LUZ,2021-01-16,0,-3.4
LUZ,2021-01-17,0,0.5
LUZ,2021-01-18,0,0.8
LUZ,2021-01-19,293,-1.4
LUZ,2021-01-20,106,-0.2
LUZ,2021-01-21,73,3.7
LUZ,2021-01-22,221,5.8
LUZ,2021-01-23,72,2.6
LUZ,2021-01-24,405,1.6
LUZ,2021-01-25,61,0.7
LUZ,2021-01-26,100,0.3
LUZ,2021-01-27,0,-0.8
LUZ,2021-01-28,3,5.8
LUZ,2021-01-29,116,8.2
LUZ,2021-01-30,0,5.3
LUZ,2021-01-31,17,5.7
LUZ,2021-02-01,0,5.8
LUZ,2021-02-02,0,6.8
LUZ,2021-02-03,7,8.5
LUZ,2021-02-04,68,6.1
LUZ,2021-02-05,288,6.1
LUZ,2021-02-06,0,5.1
LUZ,2021-02-07,0,4.3
LUZ,2021-02-08,338,2.9
LUZ,2021-02-09,0,0.7
LUZ,2021-02-10,0,0.3
LUZ,2021-02-11,0,-5.5
LUZ,2021-02-12,0,-6.0
LUZ,2021-02-13,0,-6.3
LUZ,2021-02-14,298,-5.6
LUZ,2021-02-15,47,-1.2
LUZ,2021-02-16,224,4.0
LUZ,2021-02-17,316,5.9
LUZ,2021-02-18,292,4.0
LUZ,2021-02-19,376,6.9
LUZ,2021-02-20,559,6.0
LUZ,2021-02-21,567,5.8
LUZ,2021-02-22,286,5.8
LUZ,2021-02-23,501,7.1
LUZ,2021-02-24,516,8.0
LUZ,2021-02-25,576,7.9
LUZ,2021-02-26,344,9.2
LUZ,2021-02-27,0,6.0
LUZ,2021-02-28,66,3.1
LUZ,2021-03-01,318,2.6
LUZ,2021-03-02,599,4.9
LUZ,2021-03-03,0,5.0
LUZ,2021-03-04,94,7.9
LUZ,2021-03-05,0,4.9
LUZ,2021-03-06,0,2.5
LUZ,2021-03-07,90,4.0
LUZ,2021-03-08,144,5.6
LUZ,2021-03-09,88,3.3
LUZ,2021-03-10,563,5.9
LUZ,2021-03-11,122,10.4
LUZ,2021-03-12,401,8.3
LUZ,2021-03-13,425,8.7
LUZ,2021-03-14,76,4.1
LUZ,2021-03-15,17,3.4
LUZ,2021-03-16,4,3.3
LUZ,2021-03-17,11,1.7
LUZ,2021-03-18,209,1.5
LUZ,2021-03-19,518,1.7
LUZ,2021-03-20,175,0.8
LUZ,2021-03-21,38,2.0
LUZ,2021-03-22,7,3.4
LUZ,2021-03-23,551,3.9
LUZ,2021-03-24,689,6.3
LUZ,2021-03-25,593,8.5
LUZ,2021-03-26,573,9.8
LUZ,2021-03-27,261,8.7
LUZ,2021-03-28,698,7.9
LUZ,2021-03-29,700,10.6
LUZ,2021-03-30,707,11.8
LUZ,2021-03-31,699,13.6
LUZ,2021-04-01,700,14.6
LUZ,2021-04-02,465,13.4
LUZ,2021-04-03,2,6.9
LUZ,2021-04-04,722,6.9
LUZ,2021-04-05,388,7.8
LUZ,2021-04-06,318,0.1
LUZ,2021-04-07,186,1.7
LUZ,2021-04-08,730,4.3
LUZ,2021-04-09,618,8.7
LUZ,2021-04-10,341,11.0
LUZ,2021-04-11,375,11.8
LUZ,2021-04-12,0,3.2
LUZ,2021-04-13,290,3.2
LUZ,2021-04-14,339,3.9
LUZ,2021-04-15,58,4.0
LUZ,2021-04-16,137,4.6
LUZ,2021-04-17,147,5.3
LUZ,2021-04-18,51,6.4
LUZ,2021-04-19,392,8.0
LUZ,2021-04-20,708,9.3
LUZ,2021-04-21,487,10.6
LUZ,2021-04-22,486,11.2
LUZ,2021-04-23,769,11.4
LUZ,2021-04-24,714,13.0
LUZ,2021-04-25,687,14.0
LUZ,2021-04-26,579,12.1
LUZ,2021-04-27,580,12.3
LUZ,2021-04-28,151,13.5
LUZ,2021-04-29,0,10.8
LUZ,2021-04-30,173,9.4
LUZ,2021-05-01,0,6.9
LUZ,2021-05-02,139,6.5
LUZ,2021-05-03,718,8.5
LUZ,2021-05-04,343,12.2
LUZ,2021-05-05,110,9.5
LUZ,2021-05-06,4,9.2
LUZ,2021-05-07,81,8.7
LUZ,2021-05-08,768,11.7
LUZ,2021-05-09,812,17.9
LUZ,2021-05-10,223,17.3
