,id,year_month,value_kwh mean,value_kwh std,value_kwh min,value_kwh max,demand_change_kwh mean,demand_change_kwh std,demand_change_kwh max,demand_change_kwh smooth_max,demand_change_kwh max_savgol,demand_change_kwh min,demand_change_kwh smooth_min,demand_change_kwh min_savgol
0,002da9d5719ff5fb0f53307ace9bc9e7,2023-01,0.763014,0.772785,0.020,3.532,0.000792,0.878937,3.316,1.7048,2.433829,-2.951,-1.42180,-2.078229
1,002da9d5719ff5fb0f53307ace9bc9e7,2023-02,0.680193,0.744177,0.000,3.265,-0.000898,0.813475,3.105,1.5224,2.361771,-3.038,-1.43020,-2.174743
2,002da9d5719ff5fb0f53307ace9bc9e7,2023-03,0.584596,0.705993,0.019,3.145,0.000369,0.785537,2.407,1.4204,2.154514,-3.015,-1.34200,-2.159829
3,002da9d5719ff5fb0f53307ace9bc9e7,2023-04,0.513881,0.660658,0.016,2.940,-0.001361,0.737585,2.453,1.3714,2.133914,-2.233,-1.42325,-1.994857
4,002da9d5719ff5fb0f53307ace9bc9e7,2023-05,0.357994,0.614618,0.004,2.439,-0.001380,0.703051,2.357,1.4938,2.274229,-2.393,-1.38840,-2.042714
5,002da9d5719ff5fb0f53307ace9bc9e7,2023-06,0.259070,0.555605,0.004,3.453,-0.001047,0.611453,3.447,1.9106,3.043600,-2.303,-1.41440,-2.048514
6,002da9d5719ff5fb0f53307ace9bc9e7,2023-07,0.238837,0.531369,0.005,2.646,-0.001099,0.548481,2.641,1.6062,2.500343,-2.418,-1.42160,-2.143457
7,002da9d5719ff5fb0f53307ace9bc9e7,2023-08,0.247999,0.534063,0.004,2.439,-0.001123,0.562659,2.267,1.3556,1.988429,-2.267,-1.38340,-2.026714
8,002da9d5719ff5fb0f53307ace9bc9e7,2023-09,0.260435,0.552749,0.005,2.990,-0.001240,0.599018,2.974,1.7414,2.706400,-2.236,-1.48800,-2.485429
9,002da9d5719ff5fb0f53307ace9bc9e7,2023-10,0.343417,0.586395,0.005,3.149,-0.001691,0.639194,3.043,1.6350,2.691114,-2.326,-1.37640,-2.078629
10,002da9d5719ff5fb0f53307ace9bc9e7,2023-11,0.569061,0.637678,0.017,3.187,-0.000720,0.656343,2.727,1.6614,2.512114,-2.452,-1.35580,-2.136143
11,002da9d5719ff5fb0f53307ace9bc9e7,2023-12,0.722403,0.673579,0.018,3.258,-0.001209,0.627501,2.686,1.5470,2.208429,-2.319,-1.36000,-2.092314
12,00327776181f90b1864c4238857098b7,2023-01,0.087511,0.202086,0.000,1.355,-0.000461,0.255010,1.197,0.8534,1.253057,-1.133,-0.73040,-0.966600
13,00327776181f90b1864c4238857098b7,2023-02,0.073572,0.188508,0.001,1.207,-0.000563,0.233212,1.136,0.6590,1.013371,-1.143,-0.83780,-1.147600
14,00327776181f90b1864c4238857098b7,2023-03,0.081644,0.197787,0.001,1.358,-0.001008,0.249516,1.247,0.8446,1.209629,-1.354,-0.76080,-1.137143
15,00327776181f90b1864c4238857098b7,2023-04,0.091818,0.209231,0.001,1.271,-0.000001,0.266731,1.238,0.8680,1.205429,-1.263,-0.87580,-1.288800
16,00327776181f90b1864c4238857098b7,2023-05,0.075866,0.187481,0.001,1.282,0.000938,0.227789,1.276,0.8254,1.286543,-1.253,-0.79080,-1.212543
17,00327776181f90b1864c4238857098b7,2023-06,0.053364,0.157490,0.000,0.887,0.000890,0.190943,0.876,0.7040,0.867629,-0.876,-0.58980,-0.858543
18,00327776181f90b1864c4238857098b7,2023-07,0.064613,0.161345,0.000,1.284,0.000066,0.198979,1.283,0.7432,1.176971,-1.277,-0.73320,-1.146629
19,00327776181f90b1864c4238857098b7,2023-08,0.059616,0.134958,0.000,0.695,0.000337,0.149699,0.689,0.4080,0.558029,-0.692,-0.40100,-0.582000
20,00327776181f90b1864c4238857098b7,2023-09,0.056444,0.130686,0.001,0.656,0.000257,0.145944,0.600,0.4224,0.621000,-0.608,-0.40640,-0.602571
21,00327776181f90b1864c4238857098b7,2023-10,0.053840,0.130634,0.000,0.762,0.000110,0.131137,0.749,0.4272,0.701343,-0.740,-0.42760,-0.681029
22,00327776181f90b1864c4238857098b7,2023-11,0.069719,0.144556,0.000,0.729,-0.000454,0.155229,0.718,0.4422,0.626800,-0.616,-0.44500,-0.643400
23,00327776181f90b1864c4238857098b7,2023-12,0.104621,0.152918,0.000,1.088,-0.000666,0.166384,1.036,0.4696,0.824029,-1.046,-0.55140,-0.833686
24,006d406397f66e3feb64e50853668cb6,2023-01,0.098117,0.087485,0.049,1.388,0.000004,0.093385,1.304,0.7154,1.147571,-1.034,-0.66580,-1.104800
25,006d406397f66e3feb64e50853668cb6,2023-02,0.093566,0.082067,0.047,1.140,4.464286e-06,0.071384,1.052,0.7700,1.041286,-0.833,-0.4454,-0.760543
26,006d406397f66e3feb64e50853668cb6,2023-03,0.084694,0.070881,0.005,1.137,-1.646505e-05,0.075048,1.058,0.7480,1.117800,-0.890,-0.5930,-0.857171
